6,9A2quhZLyWk0akUetBd8hQ,43.6643776,-79.4144238,Bnc Cake House,M6G 1K8,7,4.0,ON
11,tZnSodhPwNr4bzrwJ1CSbw,43.6641249,-79.4118861,Southern Accent Restaurant,M6G 2L7,146,4.0,ON
23,5J3b7j3Fzo9ISjChmoUoUA,43.6813277,-79.4278838,Mabel's Bakery,M6C 1B5,23,4.0,ON
27,PMDlKLd0Mxj0ngCpuUmE5Q,43.6708846,-79.3923788,The Coffee Mill Restaurant,M5R 3K5,25,3.5,ON
80,YIez_A3WOt9J2SXN7OMa2Q,43.7459284,-79.3246225,Allwyn's Bakery,M3A 1K8,105,4.0,ON
82,xuUzASHWjRJRFv6Ck5pO7g,43.6499721,-79.3832232,Fornetti,M5H 3V1,3,3.5,ON
88,mr3rQcYBKWu2L6o7qtQ9Wg,43.6691157,-79.4260211,Hub Coffee House & Locavorium,M6G 3N2,31,4.0,ON
95,Q_cfbLdAxkLiEZW5TO5T6A,43.5951494,-79.5299771,More Than Pies Baking,M8W 1N2,9,4.0,ON
97,cuXCQM-9VwpZlSneEY1b3w,43.708002,-79.375814,Indian Street Food Company,M4G 3C1,51,3.5,ON
111,hsWx7ya8jLMhi8ZWX23Thg,43.7069830501,-79.3964988202,Harvey's Restaurants,M4P 1G6,5,2.0,ON
112,DcyeRzICLrMkrPpJDzjQ6Q,43.6741639265,-79.2873923228,Honey's Beestro,M4E 1H5,6,2.0,ON
126,i2Fd0dl39BZ8nVxBnSPsKg,43.6910854,-79.5755866,Anchor Bar,M9W 1J1,38,3.0,ON
129,2j5hnwYzS-YLJn6IFqloCw,43.6486781,-79.3972345,I Wings,M5V 2A6,4,3.5,ON
146,_T8qy9XAKAFLJdmoLg1Q-g,43.7729924508,-79.4140518612,Burrito Boyz,M2N,121,4.0,ON
150,FI6XxleZ6Z1xJ9BS4zLKgQ,43.7743736325,-79.4140428131,Chan Yang,M2N 7A1,3,3.5,ON
153,Bw_rDtU2REt7ZlkPWT21kg,43.7420185,-79.5910764,Sunny Foodmart,M9V 4B4,4,4.0,ON
159,2tg7rpwAbrex81bMKOnOtQ,43.6990972,-79.3597232,Loblaws,M4H 1P6,10,2.0,ON
179,vwVoksbTKehDP8ZGUQaVfQ,43.7210775,-79.6137669,Sweet Mahal,M9W 0B5,25,3.5,ON
198,AoItX6upESFG_EowRa05eg,43.6643448,-79.4143913,Ave Maria Latin Café,M6G 1K8,27,4.5,ON
212,Omn2qqVcTpH9J883EVhQ7g,43.6685637,-79.3954589,Quesada Mexican Grill,M5S,16,2.5,ON
224,Gv8u5bX_Kd7HG7jkeF_vWA,43.6822547,-79.3280136,Ten Feet Tall,M4J 1N2,5,3.0,ON
232,3YKV1eralyrKQqoWOTJMDA,43.6535007,-79.427609,Giulietta,M6H 1A5,12,4.5,ON
276,ZP_1K8uC-YGbdPQ0KfNJog,43.6537193,-79.4258332,Folly Brewpub,M6H 1A4,24,4.0,ON
